Product: Daily Heating Degree Days
Regions: CPC::Regions::CensusDivisions
Weights: Population
Region|20260101|20260102|20260103|20260104|20260105|20260106|20260107|20260108|20260109|20260110|20260111|20260112|20260113|20260114|20260115|20260116|20260117|20260118|20260119|20260120|20260121|20260122|20260123|20260124|20260125|20260126|20260127|20260128|20260129|20260130|20260131|20260201|20260202|20260203|20260204|20260205|20260206|20260207|20260208|20260209
1|41|47|45|43|45|41|34|29|30|30|28|33|31|27|25|40|38|36|36|47|45|40|39|57|54|52|52|53|54|57|55|55|46|45|46|45|47|47|55|49
2|43|44|43|41|38|34|28|24|25|28|27|32|29|28|32|40|38|37|41|49|45|40|38|56|54|50|52|52|53|56|55|53|47|46|44|45|46|52|57|51
3|47|46|43|40|32|29|26|21|21|29|37|33|29|32|46|41|43|49|54|53|47|44|61|64|60|57|57|57|57|57|55|52|50|44|47|49|41|48|48|41
4|41|43|39|35|31|26|24|27|29|34|38|30|26|36|40|40|51|50|56|50|45|47|66|68|65|61|59|50|53|55|55|49|42|43|42|31|30|36|31|23
5|23|20|20|18|17|13|8|10|9|7|12|21|18|19|24|29|23|22|27|28|25|20|16|25|26|27|34|33|31|30|35|38|34|28|25|26|26|27|28|25
6|24|23|19|22|19|15|8|9|7|8|25|29|24|25|35|28|29|36|34|35|30|25|26|34|34|45|43|40|35|36|45|43|36|29|30|35|26|28|27|19
7|14|7|8|12|8|3|4|4|6|13|18|18|16|14|19|17|23|25|25|23|17|13|15|32|40|40|34|28|22|25|33|28|20|14|15|16|10|8|7|4
8|25|22|22|21|22|24|26|29|34|34|30|26|23|21|20|26|27|26|27|28|29|29|33|35|38|36|32|29|28|26|24|21|21|21|21|19|19|19|18|18
9|16|16|16|16|18|18|18|21|21|19|15|13|10|9|8|9|10|10|11|13|16|16|17|19|20|18|16|16|12|10|8|8|10|9|7|7|10|12|10|12
CONUS|29|28|27|26|24|21|18|18|18|21|24|25|22|22|27|29|29|30|33|34|31|28|32|41|41|40|40|38|36|37|38|37|33|30|29|29|27|30|30|26
