location,date,tmean_f,HDD,CDD,tmin,tmax,tavg,prcp,snow
Houston_TX,2021-01-01,46.04,18.96,0.0,3.9,12.8,7.8,0.0,0.0
Houston_TX,2021-01-02,47.12,17.88,0.0,4.4,15.0,8.4,0.0,0.0
Houston_TX,2021-01-03,48.92,16.08,0.0,1.7,20.6,9.4,0.0,0.0
Houston_TX,2021-01-04,59.72,5.28,0.0,6.7,24.4,15.4,0.0,0.0
Houston_TX,2021-01-05,57.38,7.62,0.0,7.8,21.7,14.1,0.0,0.0
Houston_TX,2021-01-06,61.7,3.3,0.0,10.6,23.9,16.5,26.4,0.0
Houston_TX,2021-01-07,52.88,12.12,0.0,5.6,15.6,11.6,0.0,0.0
Houston_TX,2021-01-08,47.84,17.16,0.0,5.0,12.2,8.8,0.0,0.0
Houston_TX,2021-01-09,44.24,20.76,0.0,1.7,13.9,6.8,0.0,0.0
Houston_TX,2021-01-10,42.62,22.38,0.0,1.7,8.3,5.9,30.2,0.0
Houston_TX,2021-01-11,37.76,27.24,0.0,1.1,6.7,3.2,0.0,0.0
Houston_TX,2021-01-12,39.92,25.08,0.0,-0.5,11.1,4.4,0.0,0.0
Houston_TX,2021-01-13,46.22,18.78,0.0,1.7,15.6,7.9,0.0,0.0
Houston_TX,2021-01-14,53.24,11.76,0.0,3.9,21.7,11.8,0.0,0.0
Houston_TX,2021-01-15,52.7,12.3,0.0,5.0,16.1,11.5,0.0,0.0
Houston_TX,2021-01-16,49.64,15.36,0.0,3.3,16.1,9.8,0.0,0.0
Houston_TX,2021-01-17,49.46,15.54,0.0,2.2,20.0,9.7,0.0,0.0
Houston_TX,2021-01-18,51.8,13.2,0.0,1.7,21.7,11.0,0.0,0.0
Houston_TX,2021-01-19,65.84,0.0,0.84,13.9,25.6,18.8,0.0,0.0
Houston_TX,2021-01-20,61.88,3.12,0.0,14.4,20.6,16.6,0.0,0.0
Houston_TX,2021-01-21,62.78,2.22,0.0,15.6,19.4,17.1,5.3,0.0
Houston_TX,2021-01-22,64.04,0.96,0.0,15.6,19.4,17.8,0.3,0.0
Houston_TX,2021-01-23,61.52,3.48,0.0,13.9,17.8,16.4,1.3,0.0
Houston_TX,2021-01-24,65.66,0.0,0.66,16.7,25.0,18.7,0.3,0.0
Houston_TX,2021-01-25,73.22,0.0,8.22,16.1,25.6,22.9,0.0,0.0
Houston_TX,2021-01-26,65.48,0.0,0.48,12.2,24.4,18.6,0.0,0.0
Houston_TX,2021-01-27,62.06,2.94,0.0,8.9,20.0,16.7,0.0,0.0
Houston_TX,2021-01-28,50.0,15.0,0.0,3.9,16.7,10.0,0.0,0.0
Houston_TX,2021-01-29,50.54,14.46,0.0,3.9,19.4,10.3,0.0,0.0
Houston_TX,2021-01-30,62.24,2.76,0.0,10.6,23.3,16.8,0.0,0.0
Houston_TX,2021-01-31,64.58,0.42,0.0,10.0,21.1,18.1,0.0,0.0
Houston_TX,2021-02-01,53.06,11.94,0.0,5.0,18.3,11.7,0.0,0.0
Houston_TX,2021-02-02,52.52,12.48,0.0,3.9,18.9,11.4,0.0,0.0
Houston_TX,2021-02-03,53.78,11.22,0.0,5.0,21.1,12.1,0.0,0.0
Houston_TX,2021-02-04,66.74,0.0,1.74,13.9,26.7,19.3,0.0,0.0
Houston_TX,2021-02-05,55.76,9.24,0.0,7.8,13.9,13.2,5.8,0.0
Houston_TX,2021-02-06,52.7,12.3,0.0,8.9,20.0,11.5,0.0,0.0
Houston_TX,2021-02-07,52.52,12.48,0.0,2.8,17.8,11.4,0.0,0.0
Houston_TX,2021-02-08,55.4,9.6,0.0,7.8,18.9,13.0,0.0,0.0
Houston_TX,2021-02-09,65.84,0.0,0.84,16.7,23.9,18.8,0.0,0.0
Houston_TX,2021-02-10,61.34,3.66,0.0,7.2,17.2,16.3,0.0,0.0
