location,date,tmean_f,HDD,CDD,tmin,tmax,tavg,prcp,snow
NewYork_NY,2021-01-01,34.7,30.3,0.0,-2.7,3.9,1.5,17.3,0.0
NewYork_NY,2021-01-02,41.54,23.46,0.0,1.1,11.7,5.3,1.0,0.0
NewYork_NY,2021-01-03,35.78,29.22,0.0,0.0,3.3,2.1,5.8,0.0
NewYork_NY,2021-01-04,37.76,27.24,0.0,1.1,7.8,3.2,0.5,0.0
NewYork_NY,2021-01-05,38.66,26.34,0.0,2.2,5.6,3.7,0.0,0.0
NewYork_NY,2021-01-06,37.76,27.24,0.0,0.0,6.1,3.2,0.0,0.0
NewYork_NY,2021-01-07,36.14,28.86,0.0,-0.5,6.7,2.3,0.0,0.0
NewYork_NY,2021-01-08,32.36,32.64,0.0,-3.2,3.9,0.2,0.0,0.0
NewYork_NY,2021-01-09,30.74,34.26,0.0,-4.9,3.9,-0.7,0.0,0.0
NewYork_NY,2021-01-10,34.88,30.12,0.0,-2.7,6.7,1.6,0.0,0.0
NewYork_NY,2021-01-11,31.46,33.54,0.0,-3.8,3.3,-0.3,0.0,0.0
NewYork_NY,2021-01-12,34.88,30.12,0.0,-3.8,7.8,1.6,0.0,0.0
NewYork_NY,2021-01-13,37.22,27.78,0.0,-0.5,7.2,2.9,0.0,0.0
NewYork_NY,2021-01-14,40.46,24.54,0.0,0.6,10.0,4.7,0.0,0.0
NewYork_NY,2021-01-15,40.1,24.9,0.0,0.0,8.3,4.5,15.5,0.0
NewYork_NY,2021-01-16,44.6,20.4,0.0,2.8,8.9,7.0,15.7,0.0
NewYork_NY,2021-01-17,39.02,25.98,0.0,1.1,6.7,3.9,0.0,0.0
NewYork_NY,2021-01-18,40.28,24.72,0.0,0.0,8.3,4.6,0.0,0.0
NewYork_NY,2021-01-19,37.4,27.6,0.0,-0.5,6.1,3.0,0.0,0.0
NewYork_NY,2021-01-20,34.88,30.12,0.0,-2.7,5.0,1.6,0.3,0.0
NewYork_NY,2021-01-21,31.64,33.36,0.0,-5.5,6.1,-0.2,0.0,0.0
NewYork_NY,2021-01-22,38.48,26.52,0.0,-1.0,8.9,3.6,0.0,0.0
NewYork_NY,2021-01-23,32.54,32.46,0.0,-4.3,2.2,0.3,0.0,0.0
NewYork_NY,2021-01-24,26.78,38.22,0.0,-5.5,1.1,-2.9,0.0,0.0
NewYork_NY,2021-01-25,30.56,34.44,0.0,-4.9,5.0,-0.8,0.0,0.0
NewYork_NY,2021-01-26,33.26,31.74,0.0,-0.5,1.7,0.7,3.8,0.0
NewYork_NY,2021-01-27,35.06,29.94,0.0,-1.0,3.3,1.7,0.0,0.0
NewYork_NY,2021-01-28,30.74,34.26,0.0,-6.0,1.7,-0.7,0.0,0.0
NewYork_NY,2021-01-29,21.56,43.44,0.0,-8.8,-2.7,-5.8,0.0,0.0
NewYork_NY,2021-01-30,22.46,42.54,0.0,-8.8,1.1,-5.3,0.0,0.0
NewYork_NY,2021-01-31,23.18,41.82,0.0,-7.1,-3.2,-4.9,3.6,0.0
NewYork_NY,2021-02-01,26.06,38.94,0.0,-5.5,-0.5,-3.3,36.6,13.0
NewYork_NY,2021-02-02,31.82,33.18,0.0,-1.0,1.1,-0.1,1.5,43.0
NewYork_NY,2021-02-03,32.9,32.1,0.0,-1.6,2.8,0.5,0.5,43.0
NewYork_NY,2021-02-04,34.52,30.48,0.0,-1.0,6.1,1.4,0.0,36.0
NewYork_NY,2021-02-05,38.12,26.88,0.0,-0.5,8.9,3.4,2.0,28.0
NewYork_NY,2021-02-06,38.12,26.88,0.0,-2.1,6.7,3.4,0.0,23.0
NewYork_NY,2021-02-07,33.08,31.92,0.0,-3.8,2.2,0.6,7.6,18.0
NewYork_NY,2021-02-08,24.08,40.92,0.0,-8.8,-1.6,-4.4,0.0,30.0
NewYork_NY,2021-02-09,27.14,37.86,0.0,-5.5,0.6,-2.7,0.0,28.0
NewYork_NY,2021-02-10,28.94,36.06,0.0,-6.0,1.7,-1.7,0.3,28.0
NewYork_NY,2021-02-11,28.94,36.06,0.0,-3.8,0.6,-1.7,2.8,33.0
NewYork_NY,2021-02-12,25.16,39.84,0.0,-8.8,-0.5,-3.8,0.0,30.0
NewYork_NY,2021-02-13,25.52,39.48,0.0,-4.9,-2.1,-3.6,0.0,28.0
NewYork_NY,2021-02-14,29.66,35.34,0.0,-3.2,3.3,-1.3,0.0,25.0
NewYork_NY,2021-02-15,32.54,32.46,0.0,-0.5,1.1,0.3,0.3,20.0
NewYork_NY,2021-02-16,38.66,26.34,0.0,0.6,10.6,3.7,21.3,13.0
NewYork_NY,2021-02-17,29.84,35.16,0.0,-5.5,0.6,-1.2,0.0,8.0
NewYork_NY,2021-02-18,27.14,37.86,0.0,-4.3,-1.6,-2.7,12.2,3.0
NewYork_NY,2021-02-19,28.76,36.24,0.0,-2.7,0.6,-1.8,1.8,10.0
NewYork_NY,2021-02-20,31.46,33.54,0.0,-3.2,1.7,-0.3,0.0,10.0
NewYork_NY,2021-02-21,29.12,35.88,0.0,-6.0,2.8,-1.6,0.0,8.0
NewYork_NY,2021-02-22,31.64,33.36,0.0,-2.1,2.8,-0.2,13.7,5.0
NewYork_NY,2021-02-23,37.04,27.96,0.0,0.6,7.2,2.8,0.0,3.0
NewYork_NY,2021-02-24,43.52,21.48,0.0,0.6,12.2,6.4,0.0,0.0
NewYork_NY,2021-02-25,45.68,19.32,0.0,2.8,10.0,7.6,0.0,0.0
NewYork_NY,2021-02-26,40.28,24.72,0.0,0.6,7.8,4.6,0.0,0.0
NewYork_NY,2021-02-27,42.8,22.2,0.0,2.8,10.6,6.0,9.4,0.0
NewYork_NY,2021-02-28,41.9,23.1,0.0,3.3,7.8,5.5,8.1,0.0
NewYork_NY,2021-03-01,43.34,21.66,0.0,0.0,9.4,6.3,4.6,0.0
NewYork_NY,2021-03-02,30.74,34.26,0.0,-6.0,1.7,-0.7,0.0,0.0
NewYork_NY,2021-03-03,37.76,27.24,0.0,-2.7,11.1,3.2,0.0,0.0
NewYork_NY,2021-03-04,41.9,23.1,0.0,-2.7,7.8,5.5,0.0,0.0
NewYork_NY,2021-03-05,30.38,34.62,0.0,-4.9,3.9,-0.9,0.0,0.0
NewYork_NY,2021-03-06,33.44,31.56,0.0,-2.1,2.8,0.8,0.0,0.0
NewYork_NY,2021-03-07,33.26,31.74,0.0,-2.1,6.1,0.7,0.0,0.0
NewYork_NY,2021-03-08,34.16,30.84,0.0,-3.8,7.2,1.2,0.0,0.0
NewYork_NY,2021-03-09,48.02,16.98,0.0,2.8,18.9,8.9,0.0,0.0
NewYork_NY,2021-03-10,45.86,19.14,0.0,1.7,11.1,7.7,0.0,0.0
NewYork_NY,2021-03-11,54.32,10.68,0.0,6.7,23.9,12.4,0.0,0.0
NewYork_NY,2021-03-12,62.78,2.22,0.0,11.7,21.7,17.1,0.0,0.0
NewYork_NY,2021-03-13,46.22,18.78,0.0,0.6,11.7,7.9,0.0,0.0
NewYork_NY,2021-03-14,45.86,19.14,0.0,-0.5,13.3,7.7,0.0,0.0
NewYork_NY,2021-03-15,32.54,32.46,0.0,-4.3,5.0,0.3,0.0,0.0
NewYork_NY,2021-03-16,33.08,31.92,0.0,-2.1,3.3,0.6,0.3,0.0
NewYork_NY,2021-03-17,38.84,26.16,0.0,1.7,7.8,3.8,0.0,0.0
NewYork_NY,2021-03-18,44.24,20.76,0.0,5.0,7.8,6.8,17.0,0.0
NewYork_NY,2021-03-19,39.92,25.08,0.0,0.6,7.8,4.4,1.5,0.0
NewYork_NY,2021-03-20,42.98,22.02,0.0,-1.0,15.6,6.1,0.0,0.0
NewYork_NY,2021-03-21,48.74,16.26,0.0,1.1,17.2,9.3,0.0,0.0
NewYork_NY,2021-03-22,48.38,16.62,0.0,1.7,15.0,9.1,0.0,0.0
NewYork_NY,2021-03-23,48.74,16.26,0.0,3.3,17.8,9.3,0.0,0.0
NewYork_NY,2021-03-24,51.62,13.38,0.0,7.2,14.4,10.9,34.3,0.0
NewYork_NY,2021-03-25,56.3,8.7,0.0,10.6,19.4,13.5,0.3,0.0
NewYork_NY,2021-03-26,63.68,1.32,0.0,10.6,28.9,17.6,2.5,0.0
NewYork_NY,2021-03-27,58.64,6.36,0.0,10.0,20.6,14.8,0.0,0.0
NewYork_NY,2021-03-28,55.22,9.78,0.0,10.0,18.9,12.9,13.7,0.0
NewYork_NY,2021-03-29,51.62,13.38,0.0,6.1,13.9,10.9,0.0,0.0
NewYork_NY,2021-03-30,49.64,15.36,0.0,1.7,16.1,9.8,0.0,0.0
NewYork_NY,2021-03-31,56.3,8.7,0.0,9.4,20.6,13.5,7.1,0.0
NewYork_NY,2021-04-01,49.46,15.54,0.0,2.8,14.4,9.7,0.8,0.0
NewYork_NY,2021-04-02,35.6,29.4,0.0,-2.1,4.4,2.0,0.0,0.0
NewYork_NY,2021-04-03,39.92,25.08,0.0,-1.0,12.2,4.4,0.0,0.0
NewYork_NY,2021-04-04,51.26,13.74,0.0,5.6,19.4,10.7,0.0,0.0
NewYork_NY,2021-04-05,57.92,7.08,0.0,7.8,21.1,14.4,0.0,0.0
NewYork_NY,2021-04-06,58.46,6.54,0.0,7.8,21.7,14.7,0.0,0.0
NewYork_NY,2021-04-07,59.36,5.64,0.0,9.4,21.7,15.2,0.0,0.0
